
ORIGIN,Description,Sum(PASSENGERS)
"05A","Little Squaw, AK: Little Squaw Airport",69
"09A","Homer, AK: Augustin Island",7
"1B1","Hudson, NY: Columbia County",2
"1G4","Peach Springs, AZ: Grand Canyon West",17593
"7AK","Akun, AK: Akun Airport",950
"A03","Hallo Bay, AK: Hallo Bay Airport",6
"A18","Kantishna, AK: Kantishna Airport",1
"A1K","Deadhorse1, AK: Point Thomson Airstrip",0
"A20","Alpine, AK: Alpine Airstrip",0
"A26","Ivotuk, AK: Ivotuk Airstrip",4
"A29","Kiluda Bay, AK: Kiluda Bay Airport",47
"A43","Kodiak Island, AK: Trident Basin Seaplane Base",331
"A63","Yukon Charley Rivvers, AK: Coal Creek",41
"A6K","Fairbanks1, AK: Van Curlers Sandbar",2
"A72","Chinitna Bay, AK: Chinitna Bay Airport",0
"A76","Red Fox Bay, AK: Red Fox Bay Airport",2
"A99","Eagle Creek, AK: Eagle Creek Airport",0
"AAF","Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",0
"ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",183578
"ABI","Abilene, TX: Abilene Regional",49835
"ABL","Ambler, AK: Ambler River",1303
"ABQ","Albuquerque, NM: Albuquerque International Sunport",1319753
"ABR","Aberdeen, SD: Aberdeen Regional",15370
"ABY","Albany, GA: Southwest Georgia Regional",21957
"ACK","Nantucket, MA: Nantucket Memorial",57756
"ACT","Waco, TX: Waco Regional",33666
"ACV","Arcata/Eureka, CA: California Redwood Coast Humboldt County",38755
"ACY","Atlantic City, NJ: Atlantic City International",320186
"ADK","Adak Island, AK: Adak",1219
"ADQ","Kodiak, AK: Kodiak Airport",45480
"ADS","Dallas, TX: Addison",12
"ADT","Ada, OK: Ada Regional",6
"ADW","Camp Springs, MD: Joint Base Andrews",0
"AET","Allakaket, AK: Allakaket Airport",1043
"AEX","Alexandria, LA: Alexandria International",71525
"AFW","Dallas/Fort Worth, TX: Fort Worth Alliance",679
"AGC","Pittsburgh, PA: Allegheny County",39
"AGN","Angoon, AK: Angoon Seaplane Base",1240
"AGS","Augusta, GA: Augusta Regional at Bush Field",168804
"AHN","Athens, GA: Athens/Ben Epps",160
"AIA","Alliance, NE: Alliance Municipal",1141
"AIK","Aiken, SC: Aiken Municipal",4
"AIN","Wainwright, AK: Wainwright Airport",2284
"AIZ","Lake of the Ozarks, MO: Lee C Fine Memorial",6
"AKB","Atka, AK: Atka Airport",154
"AKI","Akiak, AK: Akiak Airport",1210
"AKK","Akhiok, AK: Akhiok Airport",457
"AKN","King Salmon, AK: King Salmon Airport",23815
"AKP","Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",2191
"ALB","Albany, NY: Albany International",802450
"ALO","Waterloo, IA: Waterloo Regional",15534
"ALS","Alamosa, CO: San Luis Valley Regional/Bergman Field",3722
"ALW","Walla Walla, WA: Walla Walla Regional",28191
"ALZ","Lazy Bay, AK: Alitak Seaplane Base",61
"AMA","Amarillo, TX: Rick Husband Amarillo International",192410
"ANB","Anniston, AL: Anniston Regional",295
"ANC","Anchorage, AK: Ted Stevens Anchorage International",1449243
"AND","Anderson, SC: Anderson Regional",31
"ANI","Aniak, AK: Aniak Airport",7198
"ANP","Annapolis, MD: Lee",6
"ANV","Anvik, AK: Anvik Airport",451
"AOH","Lima, OH: Lima Allen County",0
"AOO","Altoona, PA: Altoona-Blair County",2231
"APA","Denver, CO: Centennial",25
"APC","Napa, CA: Napa County",64
"APF","Naples, FL: Naples Municipal",269
"APN","Alpena, MI: Alpena County Regional",6318
"ARA","New Iberia, LA: Acadiana Regional",0
"ARC","Arctic Village, AK: Arctic Village Airport",1041
"ART","Watertown, NY: Watertown International",11247
"ASE","Aspen, CO: Aspen Pitkin County Sardy Field",164718
"ASH","Nashua, NH: Boire Field",1
"ASN","Talladega, AL: Talladega Municipal",0
"ATK","Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",1296
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",25877004
"ATO","Athens, OH: Ohio University",25
"ATT","Atmautluak, AK: Atmautluak Airport",1155
"ATW","Appleton, WI: Appleton International",159334
"ATY","Watertown, SD: Watertown Regional",6172
"AUG","Augusta/Waterville, ME: Augusta State",2975
"AUK","Alakanuk, AK: Alakanuk Airport",1683
"AUO","Auburn, AL: Auburn University Regional",30
"AUS","Austin, TX: Austin - Bergstrom International",3782339
"AUZ","Aurora, IL: Aurora Municipal",1
"AVL","Asheville, NC: Asheville Regional",255056
"AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",151173
"AYS","Waycross, GA: Waycross-Ware County",3
"AZA","Phoenix, AZ: Phoenix - Mesa Gateway",427132
"AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",84813
"BAF","Westfield, MA: Westfield Barnes Regional",32
"BBX","Blue Bell, PA: Wings Field",14
"BCE","Bryce Canyon, UT: Bryce Canyon Airport",24
"BCT","Boca Raton, FL: Boca Raton Public",23
"BDL","Hartford, CT: Bradley International",1768644
"BDR","Bridgeport, CT: Igor I Sikorsky Memorial",29
"BED","Bedford, MA: Laurence G Hanscom Field",2415
"BET","Bethel, AK: Bethel Airport",83865
"BFB","Blue Fox Bay, AK: Blue Fox Bay Airport",4
"BFD","Bradford, PA: Bradford Regional",1983
"BFF","Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",3204
"BFG","Glen Canyon, UT: Bullfrog Basin",8
"BFI","Seattle, WA: Boeing Field/King County International",7695
"BFL","Bakersfield, CA: Meadows Field",57262
"BFM","Mobile, AL: Mobile Downtown",0
"BFT","Beaufort, SC: Beaufort County",5
"BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",20100
"BGR","Bangor, ME: Bangor International",139826
"BHB","Bar Harbor, ME: Hancock County-Bar Harbor",4402
"BHM","Birmingham, AL: Birmingham-Shuttlesworth International",759854
"BID","Block Island, RI: Block Island State",8534
"BIF","El Paso, TX: Biggs AAF",710
"BIH","Bishop, CA: Bishop Airport",0
"BIL","Billings, MT: Billings Logan International",235579
"BIS","Bismarck/Mandan, ND: Bismarck Municipal",161002
"BJC","Broomfield, CO: Rocky Mountain Metro",4
"BJI","Bemidji, MN: Bemidji Regional",16875
"BJJ","Wooster, OH: Wayne County",4
"BKC","Buckland, AK: Buckland Airport",2408
"BKG","Branson, MO: Branson Airport",3794
"BKL","Cleveland, OH: Burke Lakefront",6451
"BKW","Beckley, WV: Raleigh County Memorial",946
"BLD","Boulder City, NV: Boulder City Municipal",50935
"BLF","Princeton/Bluefield, WV: Mercer County",0
"BLI","Bellingham, WA: Bellingham International",226462
"BLM","Belmar/Farmingdale, NJ: Monmouth Executive",25
"BLV","Belleville, IL: Scott AFB/MidAmerica",71630
"BMG","Bloomington, IN: Monroe County",523
"BMI","Bloomington/Normal, IL: Central Illinois Regional",94508
"BNA","Nashville, TN: Nashville International",3866863
"BNF","Baranof, AK: Warm Spring Bay Seaplane Base",34
"BOI","Boise, ID: Boise Air Terminal",1000367
"BOK","Brookings, OR: Brookings Airport",0
"BOS","Boston, MA: Logan International",8740185
"BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional",14254
"BQK","Brunswick, GA: Brunswick Golden Isles",21487
"BQN","Aguadilla, PR: Rafael Hernandez",173474
"BRD","Brainerd, MN: Brainerd Lakes Regional",12110
"BRL","Burlington, IA: Southeast Iowa Regional",4285
"BRO","Brownsville, TX: Brownsville South Padre Island International",63131
"BRW","Barrow, AK: Wiley Post/Will Rogers Memorial",25830
"BTI","Barter Island, AK: Barter Island Airport",1451
"BTL","Battle Creek, MI: W K Kellogg",0
"BTM","Butte, MT: Bert Mooney",16006
"BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",216448
"BTT","Bettles, AK: Bettles Airport",918
"BTV","Burlington, VT: Burlington International",318639
"BUF","Buffalo, NY: Buffalo Niagara International",1336790
"BUR","Burbank, CA: Bob Hope",1327067
"BVU","Beluga, AK: Beluga Airport",642
"BVY","Beverly, MA: Beverly Regional",26
"BWC","Brawley, CA: Brawley Municipal",9
"BWD","Brownwood, TX: Brownwood Regional",0
"BWG","Bowling Green, KY: Bowling Green-Warren County Regional",687
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7075567
"BYH","Blytheville, AR: Arkansas International",0
"BZN","Bozeman, MT: Bozeman Yellowstone International",344301
"C01","Camarillo, CA: Camarillo Airport",2
"CAE","Columbia, SC: Columbia Metropolitan",283028
"CAK","Akron, OH: Akron-Canton Regional",396439
"CBF","Council Bluffs, IA: Council Bluffs Municipal",2
"CCR","Concord, CA: Buchanan Field",7685
"CDB","Cold Bay, AK: Cold Bay Airport",3794
"CDC","Cedar City, UT: Cedar City Regional",8382
"CDL","Candle, AK: Candle 2",8
"CDR","Chadron, NE: Chadron Municipal",3082
"CDV","Cordova, AK: Merle K Mudhole Smith",8999
"CEC","Crescent City, CA: Jack McNamara Field",4193
"CEF","Chicopee Falls, MA: Westover ARB Metropolitan",388
"CEM","Central, AK: Central Airport",5
"CEU","Clemson, SC: Oconee County Regional",14
"CEW","Crestview, FL: Bob Sikes",9
"CEZ","Cortez, CO: Cortez Municipal",4965
"CGA","Craig, AK: Craig Seaplane Base",1291
"CGI","Cape Girardeau, MO: Cape Girardeau Regional",3638
