AIRPORT_ID,Code,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10001,01A,Afognak Lake Airport,58.10944444,-152.9066667
10003,03A,Bear Creek Mining Strip,65.54805556,-161.0716667
10004,04A,Lik Mining Camp,68.08333333,-163.1666667
10005,05A,Little Squaw Airport,67.57,-148.1838889
10006,06A,Kizhuyak Bay,57.74527778,-152.8827778
10007,07A,Klawock Seaplane Base,55.55472222,-133.1016667
10008,08A,Elizabeth Island Airport,59.15694444,-151.8291667
10009,09A,Augustin Island,59.36277778,-153.4305556
10010,1B1,Columbia County,42.28888889,-73.71027778
10011,1G4,Grand Canyon West,35.99027778,-113.8163889
10012,1N7,Blairstown Airport,40.97111111,-74.9975
10013,8F3,Crosbyton Municipal,33.62388889,-101.2408333
10014,A01,Blair Lake,64.36416667,-147.3613889
10015,A02,Deadmans Bay Airport,57.06666667,-153.9377778
10016,A03,Hallo Bay Airport,58.4575,-154.0233333
10017,A04,Red Lake Airport,57.27722222,-154.3422222
10018,A05,Shell Lake Airport,61.96388889,-151.5558333
10019,A06,Navigator Airstrip,65.65555556,-165.3563889
10020,A07,Roland Norton Memorial Airstrip,66.76583333,-160.1525
10020,A07,Roland Norton Memorial,66.76611111,-160.1527778
10021,A08,Pillar Bay Airport,56.59805556,-134.2427778
10022,JOH,Johnstone Point Airport,60.48138889,-146.5822222
10022,A09,Johnstone Point Airport,60.48222222,-146.5822222
10023,TLK,Tikchik Lodge Airport,59.95555556,-158.4805556
10023,KTH,Tikchik Lodge Airport,59.95555556,-158.4805556
10024,A11,Bell Creek Airport,60.78388889,-159.5402778
10025,A12,Cinnabar Airport,60.78527778,-158.8644444
10026,A13,Mountaintop Mine Airport,61.39027778,-157.9955556
10027,A14,Whitebear Airport,61.18888889,-159.8583333
10028,A15,Puviaq Airport,70.71861111,-154.3883333
10029,A16,Arley Lake Airport,70.74694444,-155.3608333
10030,A17,Port Vita Airport,58.06555556,-153.0725
10031,A18,Kantishna Airport,63.54166667,-150.9938889
10033,A20,Alpine Airstrip,70.34416667,-150.9447222
10034,A21,Serpentine Airport,65.85138889,-164.7027778
10035,A22,Driftwood Bay Airport,53.97277778,-166.8569444
10036,A23,Bradley Lake Airport,59.77611111,-151.9636111
10037,A24,Chilkat Lake Airport,59.33166667,-135.8966667
10038,A25,Nugget Creek Airport,59.28833333,-136.1738889
10039,A26,Ivotuk Airstrip,68.48333333,-155.7333333
10040,A27,Pogo Mines Airport,64.44,-144.9363889
10041,A28,Ayakulik River Airport,57.25388889,-154.4222222
10042,A29,Kiluda Bay Airport,57.32305556,-153.1494444
10043,A30,Terror Lake Airport,57.96388889,-153.0583333
10044,A31,Selief Bay Airport,58.98277778,-153.1833333
10047,A34,Laura Lake Airport,58.36194444,-152.3122222
10049,A36,Deep Bay Airport,55.56027778,-131.6555556
10050,A37,Kako Airport,61.89888889,-161.4380556
10051,A38,Molly Creek Airport,64.09722222,-143.2666667
10052,A39,Ptarmigan Lake Airport,61.86611111,-141.1597222
10053,A40,Cape Simpson Airport,71.05694444,-154.7283333
10054,A41,Kogru River Airport,70.57611111,-152.2711111
10055,A42,Teshepkuk Lake Airport,70.35833333,-153.1966667
10056,A43,Trident Basin Seaplane Base,57.78083333,-152.3911111
10058,A45,Lake Florence Airport,57.81666667,-134.5833333
10059,A46,Lake Hasselborg Airport,57.7,-134.2666667
10060,A47,Distin Lake Airport,57.61666667,-134.3666667
10061,A48,Port Hobron Airport,57.15,-153.15
10062,A49,Mooseville Airstrip Airport,70.28444444,-152.2119444
10063,A50,Big Bay Airport,58.5625,-152.5961111
10064,A51,Wien Lake Airport,64.35277778,-151.275
10065,A52,Silver Salmon Creek Airport,59.96388889,-152.6822222
10066,A53,Blear Lake Airport,64.33333333,-147.5
10067,A54,Cannery Bay Airport,53.68333333,-166.75
10069,A56,Johnsons Landing,56.03666667,-160.2661111
10070,VZK,International Seafoods Airport,58.26666667,-157.5333333
10070,A57,International Seafoods Airport,58.26666667,-157.5333333
10071,A58,Cosna River Airport,64.5,-151.6666667
10072,A59,Ivatuk Airport,68.48777778,-155.7575
10074,A61,Cape Sarichef AFS,54.58333333,-164.9125
10074,A61,Cape Sarichef Airport,54.5825,-164.9144444
10075,A62,Taylor Mountain,60.86777778,-157.3919444
10076,A63,Coal Creek,65.31111111,-143.1352778
10078,A65,Karluk Portage Airport,57.53833333,-154.1644444
10079,A66,Hope Airport,60.90555556,-149.6238889
10080,A67,Viekoda Bay Airport,57.84944444,-153.1152778
10082,A69,Cathedral Strip,55.74,-162.1252778
10083,A70,Village Islands Airport,57.77416667,-153.5447222
10084,A71,Bear Cove Farm,59.73833333,-151.03
10085,A72,Chinitna Bay Airport,59.83333333,-152.5847222
10086,A73,McKinley National Park,63.7325,-148.9105556
10087,A74,Dog Fish Bay,59.24111111,-151.8772222
10088,A75,Malina Bay Airport,58.17194444,-152.8941667
10089,A76,Red Fox Bay Airport,58.46444444,-152.5930556
10090,A77,Shearwater Airport,57.34333333,-152.8972222
10091,A78,Lake,71.03,-154.4436111
10092,A79,Cape Simpson No. 1,71.50166667,-154.0338889
10093,A80,Cape Simpson No. 7,70.57388889,-155.3213889
10094,A81,Cape Simpson #1,70.66277778,-154.8366667
10095,A82,Nikiski Private Airstrip,60.69027778,-151.2888889
10096,A83,Petrof Point Airport,59.37638889,-150.765
10097,A84,Denali West Lodge Private,63.75555556,-147.93
10098,A85,Big River Airport,61.85944444,-154.2766667
10100,A87,Carry Inlet Airport,58.58305556,-152.4458333
10102,A89,Montague Island Airport,59.925,-147.5166667
10103,A90,Shannon Pond Airport,59.03916667,-158.4638889
10104,A91,Omalik Lagoon Airport,69.15555556,-163.4972222
10105,A92,Omolik Lagoon Airport,69.14805556,-163.5102778
10106,A93,Bradley Lake Project Airport,59.79166667,-151.2666667
10107,A94,Ice Strip,70.57416667,-155.3180556
10108,A95,Ice Strip,70.31194444,-153.2491667
10109,A96,Ice Strip,70.98083333,-157.095
10110,A97,Akulik Air Strip,68.98555556,-163.4797222
10111,A98,Deadfall Air Strip,69.17083333,-163.2563889
10112,A99,Eagle Creek Airport,68.67666667,-162.6469444
10113,AA1,Ice Kong,59.95277778,-162.6169444
10116,AA4,Glacier Split,59.63333333,-151.2083333
10117,AA5,Selby Lake Airport,66.95583333,-155.615
10118,AAA,Anaa Airport,-17.35388889,-145.5097222
10119,AAB,Arrabury Station,-26.7,141.0416667
10120,AAC,El Arish International,31.07638889,33.83333333
10121,AAE,Rabah Bitat,36.82166667,7.81
10122,AAF,Apalachicola Regional,29.7275,-85.0275
10122,AAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
10123,AAH,Aachen/Merzbruck,50.82305556,6.18611111
10123,AAH,Aachen Merzbrueck,50.82305556,6.1875
10124,AAI,Arraias Airport,-12.91666667,-46.93333333
10125,AAL,Aalborg Airport,57.09305556,9.85
10126,AAM,Malamala,-24.80833333,31.54166667
10127,AAN,Al Ain International,24.26166667,55.60916667
10128,AAO,Anaco Airport,9.43194444,-64.46388889
10129,AAQ,Vityazevo,44.9,37.31666667
10129,AAQ,Anapa Airport,45.00222222,37.34722222
10130,AAR,Tirstrup,56.31027778,10.61805556
10130,AAR,Aarhus Airport,56.3,10.61888889
10131,AAU,Asau W Sam,-13.51666667,-172.65
10132,AAX,Araxa Airport,-19.56805556,-46.92916667
10134,ABD,Abadan Airport,30.36611111,48.23222222
10135,ABE,Lehigh Valley International,40.65472222,-75.43833333
10136,ABI,Abilene Regional,32.40944444,-99.67972222
10137,ABJ,Abidjan Felix Houphouet Boigny International,5.25555556,-3.92916667
10137,ABJ,Felix Houphouet Boigny Abidjan,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
10138,ABK,Kabri Dar Airport,6.73388889,44.26611111
10138,ABK,Kebri Dahar,6.73277778,44.24166667
10139,ABL,Ambler River,67.0875,-157.8458333
10140,ABQ,Albuquerque International Sunport,35.04166667,-106.6063889
10141,ABR,Aberdeen Regional,45.44972222,-98.42166667
10142,ABS,Abu Simbel Airport,22.37222222,31.61527778
10143,BBH,Al-Baha Airport,20.29611111,41.63416667
10143,ABT,Al-Baha Airport,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
10144,ABV,Abuja Nnamdi Azikiwe International,9.00555556,7.26611111
10144,ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
10145,ABX,Albury Airport,-36.06833333,146.9766667
10146,ABY,Southwest Georgia Regional,31.53222222,-84.19611111
10147,ABZ,Aberdeen Dyce,57.20416667,-2.19861111
10148,ACA,General Juan N Alvarez International,16.75555556,-99.76694444
10149,ACB,Antrim County,44.98472222,-85.19916667
10150,ACC,Accra Kotoka International,5.59527778,-0.17083333
10151,ACE,Lanzarote,28.9425,-13.60472222
10152,ACH,St Gallen Altenrhein,47.48527778,9.56
10153,ACI,Alderney Airport,49.70694444,-2.21527778
10154,ACK,Nantucket Memorial,41.25666667,-70.05972222
10155,ACT,Waco Regional,31.61138889,-97.22861111
10156,ACU,Achutupo Airport,8.43333333,-77.96666667
10157,ACV,Arcata,40.97916667,-124.1075
10157,ACV,California Redwood Coast Humboldt County,40.97777778,-124.1083333
10158,ACY,Nafec Atlantic City,39.45611111,-74.57805556
10158,ACY,Nafec Atl,39.45666667,-74.57777778
10158,ACY,Atlantic City International,39.4575,-74.57805556
10159,ADA,Adana Sakirpasa,36.98361111,35.28083333
10159,ADA,Adana International,36.98222222,35.28027778
10160,ADB,Adnan Menderes,38.29472222,27.16
10161,ADC,Andakombe Airport,-7.13611111,145.7441667
10162,ADD,Haile Selassie I International,8.97805556,38.79944444
10162,ADD,Bole International,8.97805556,38.79944444
10163,ADE,Aden International,12.82777778,45.03055556
10164,ADJ,King Abdullah Ben,31.97222222,35.99
10164,ADJ,Marka International,31.97222222,35.99
10165,ADK,Adak NS,51.88277778,-176.6447222
10165,ADK,Adak,51.87805556,-176.6461111
10166,ADL,Adelaide International,-34.94833333,138.5347222
10167,ADM,Ardmore Municipal,34.30305556,-97.01972222
10168,ADN,Andes Airport,5.66666667,-75.88333333
10169,ADO,Andamooka Airport,-30.43777778,137.1372222
10170,ADQ,Kodiak Airport,57.75,-152.4938889
10171,ADS,Addison,32.96833333,-96.83611111
10172,ADW,Andrews AFB,38.81083333,-76.86722222
10172,ADW,Joint Base Andrews,38.81083333,-76.86694444
10173,ADX,RAF Leuchars,56.37277778,-2.86833333
10174,ADZ,San Andres,12.58333333,-81.7
10174,ADZ,Sesquicentenario,12.58305556,-81.71166667
10174,ADZ,Gustavo Rojas Pinilla,12.58361111,-81.71138889
10175,DHF,Al Dhafra Air Base,24.24833333,54.54777778
10176,AED,Aleneva Airport,58.03333333,-152.9
10177,AEG,Aek Godang,1.4,99.43055556
10178,AEH,Abeche Airport,13.85138889,20.85083333
10180,AEO,Aioun El Atrouss Airport,16.70916667,-9.63555556
10181,AEP,Aeroparque Jorge Newbery,-34.55888889,-58.41583333
10182,AER,Adler/Sochi Airport,43.45,39.93333333
10183,AES,Vigra,62.5625,6.10527778
10184,AET,Allakaket Airport,66.56166667,-152.6583333
10185,AEX,England AFB,31.32416667,-92.54694444
10185,AEX,Alexandria International,31.3275,-92.54861111
10186,AEY,Akureyri Airport,65.65694444,-18.07222222
10188,AFA,San Rafael Airport,-34.58916667,-68.40055556
10189,AFF,USAF Academy Airfield,38.96972222,-104.8125
10190,AFK,Nebraska City Municipal,40.60694444,-95.86583333
10191,AFO,Afton Municipal,42.71666667,-110.9333333
10192,AFP,Anson County,35.02388889,-80.08138889
10192,AFP,Anson County Jeff Cloud Field,35.02055556,-80.07722222
10194,AFW,Fort Worth Alliance,32.98666667,-97.3175
10195,AFY,Afyon Airport,38.735,30.59555556
10196,AGA,Agadir/Inezgane,30.38055556,-9.54583333
10196,AGA,Inezgane,30.38138889,-9.54611111
10197,AGB,Muehlhausen,48.42611111,10.93305556
10197,AGB,Augsburg Airport,48.42444444,10.93222222
10198,AGC,Allegheny County,40.35472222,-79.93
10199,AGF,La Garenne,44.17361111,0.59861111
10199,AGF,Agen La Garenne,44.17388889,0.59305556
10200,AGG,Angoram Airport,-4.06583333,144.0738889
10201,AGH,Angelholm-Helsingborg,56.29305556,12.8625
10201,AGH,Angelholm,56.29166667,12.855
10202,AGK,Kagua Airport,-6.40333333,143.8466667
10203,AGL,Wanigela Airport,-9.34027778,149.1552778
10204,AGN,Angoon Seaplane Base,57.50388889,-134.5833333
10205,AGP,Malaga Airport,36.67166667,-4.49805556
10205,AGP,Malaga Costa del Sol,36.68,-4.49583333
10206,AGQ,Agrinion New,38.60416667,21.35194444
10206,AGQ,Agrinion Airport,38.60194444,21.35111111
10207,AGR,Agra Airport,27.15833333,77.96277778
10208,AGS,Bush Field,33.36916667,-81.96444444
10208,AGS,Augusta Regional at Bush Field,33.36916667,-81.96444444
10209,AGT,Guarani International,-25.45555556,-54.84361111
10210,AGU,Jesus Teran International,21.70555556,-102.3177778
10211,AGV,Oswaldo Guevara Mujica,9.55222222,-69.23333333
10212,AGX,Agatti Island Airport,10.83333333,72.2
10213,AHA,Naha AB,26.19194444,127.6477778
10214,AHB,Abha Airport,18.23861111,42.655
10215,AHD,Ardmore Airport,34.14694444,-97.12277778
10215,AHD,Ardmore Downtown Executive,34.14694444,-97.12277778
10216,AHN,Athens Municipal,33.94833333,-83.32694444
10216,AHN,Athens/Ben Epps,33.94861111,-83.32638889
10217,AHO,Alghero,40.63055556,8.28888889
